Thu Aug 25 17:41:32 2022    profile_results

         27449852 function calls (27188607 primitive calls) in 340.650 seconds

   Ordered by: cumulative time
   List reduced from 6049 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   178017    4.444    0.000  146.643    0.001 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:731(partial_deriv)
   178017    4.215    0.000  141.579    0.001 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:736(<listcomp>)
   712074   88.290    0.000  138.625    0.000 {built-in method builtins.eval}
2150626/1970974   21.389    0.000   90.306    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   178017    1.374    0.000   82.523    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:205(update)
   178017    8.746    0.000   81.149    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:194(invariants)
       20    0.000    0.000   51.959    2.598 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/least_squares.py:814(fun_wrapped)
   534089    5.270    0.000   36.722    0.000 <__array_function__ internals>:177(diag)
   534089   11.047    0.000   26.224    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/lib/twodim_base.py:234(diag)
   178017    1.848    0.000   25.885    0.000 <__array_function__ internals>:177(det)
   178017    9.971    0.000   22.295    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/linalg/linalg.py:2092(det)
        1    0.000    0.000   21.738   21.738 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/util/_decorators.py:302(wrapper)
        1    0.000    0.000   21.738   21.738 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:422(read_excel)
   356034    4.026    0.000   21.581    0.000 <__array_function__ internals>:177(trace)
   714236    7.336    0.000   21.106    0.000 <__array_function__ internals>:177(dot)
        1    0.000    0.000   18.880   18.880 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:1424(parse)
        1    0.000    0.000   18.880   18.880 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:572(parse)
        1    0.070    0.070   18.711   18.711 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:568(get_sheet_data)
     3484    0.058    0.000   17.142    0.005 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_read_only.py:58(_cells_by_row)
     3484    0.552    0.000   16.129    0.005 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:113(parse)
      147    2.100    0.014   13.801    0.094 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:231(F)
   356034    4.806    0.000   13.743    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1687(trace)
   178017    2.202    0.000   12.446    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:200(<listcomp>)
142893/142890    0.858    0.000   11.863    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1224(iterator)
   178017    2.135    0.000   11.646    0.000 <__array_function__ internals>:177(outer)
        1    0.000    0.000   10.690   10.690 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:636(__init__)
542792/542745    5.731    0.000   10.559    0.000 {built-in method builtins.any}
    651/9    0.030    0.000    8.879    0.987 <frozen importlib._bootstrap>:986(_find_and_load)
    651/9    0.020    0.000    8.877    0.986 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    628/8    0.021    0.000    8.866    1.108 <frozen importlib._bootstrap>:650(_load_unlocked)
    627/8    0.013    0.000    8.864    1.108 <frozen importlib._bootstrap_external>:837(exec_module)
    698/8    0.006    0.000    8.861    1.108 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      266    0.003    0.000    8.822    0.033 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1690(feed)
      325    1.149    0.004    8.820    0.027 {method 'Parse' of 'pyexpat.xmlparser' objects}
      209    0.002    0.000    8.751    0.042 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1268(feed)
   178017    1.865    0.000    8.704    0.000 <__array_function__ internals>:177(diagonal)
       12    0.008    0.001    8.303    0.692 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/axes/_base.py:4561(get_tightbbox)
       32    0.003    0.000    8.154    0.255 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/axis.py:1090(get_tightbbox)
        2    0.000    0.000    7.560    3.780 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/figure.py:3162(tight_layout)
        2    0.000    0.000    7.532    3.766 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/tight_layout.py:251(get_tight_layout_figure)
        2    0.001    0.000    7.527    3.763 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/tight_layout.py:19(_auto_adjust_subplotpars)
   178017    4.948    0.000    7.387    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/core/numeric.py:851(outer)
      552    0.018    0.000    7.086    0.013 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/text.py:290(_get_layout)
   178021    2.869    0.000    6.958    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/linalg/linalg.py:135(_commonType)
      144    0.004    0.000    6.948    0.048 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:251(get_text_width_height_descent)
      592    0.030    0.000    6.912    0.012 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/text.py:872(get_window_extent)
       32    0.000    0.000    6.798    0.212 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/mathtext.py:410(parse)
       16    0.001    0.000    6.796    0.425 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/mathtext.py:437(_parse_cached)
   356034    6.641    0.000    6.641    0.000 {method 'trace' of 'numpy.ndarray' objects}
        1    0.001    0.001    5.280    5.280 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/sympy/__init__.py:1(<module>)
   178017    2.550    0.000    5.098    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1552(diagonal)
1462828/1458990    4.558    0.000    4.612    0.000 {built-in method builtins.len}
  1424136    4.562    0.000    4.562    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:97(<genexpr>)
8363/2917    0.086    0.000    4.456    0.002 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/sympy/core/cache.py:69(wrapper)
        1    0.002    0.002    3.983    3.983 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/_mathtext.py:1967(__init__)
   145125    1.316    0.000    3.938    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1562(handler)
       13    1.141    0.088    3.881    0.299 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pyparsing/helpers.py:197(one_of)
     3483    0.106    0.000    3.814    0.001 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:265(parse_row)
   890189    3.733    0.000    3.733    0.000 {built-in method numpy.zeros}
   146257    2.102    0.000    3.713    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1621(_start)
966490/966038    3.343    0.000    3.646    0.000 {built-in method builtins.isinstance}
     3483    0.244    0.000    3.620    0.001 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:286(<listcomp>)
   178017    2.772    0.000    3.523    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/lib/twodim_base.py:161(eye)
  1071083    3.498    0.000    3.498    0.000 {built-in method numpy.asanyarray}
    69660    1.553    0.000    3.376    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:177(parse_cell)
   356166    2.214    0.000    3.306    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/linalg/linalg.py:116(isComplexType)
        2    0.000    0.000    3.133    1.567 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/pyplot.py:323(show)
        2    0.000    0.000    3.133    1.567 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib_inline/backend_inline.py:23(show)
        2    0.000    0.000    3.126    1.563 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/display.py:131(display)
        2    0.000    0.000    3.113    1.556 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/formatters.py:89(format)
   178017    1.882    0.000    3.101    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:252(observe)
       24    0.000    0.000    3.095    0.129 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/decorator.py:229(fun)
       24    0.000    0.000    3.089    0.129 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/formatters.py:220(catch_format_error)
       18    0.000    0.000    3.079    0.171 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/formatters.py:331(__call__)
  516/488    0.048    0.000    3.068    0.006 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/sympy/core/operations.py:46(__new__)
        2    0.000    0.000    3.063    1.532 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/pylabtools.py:110(print_figure)
        2    0.001    0.000    3.063    1.531 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/backend_bases.py:2192(print_figure)
        1    0.000    0.000    2.858    2.858 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:1344(__init__)
        1    0.000    0.000    2.848    2.848 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:509(__init__)
   360656    2.588    0.000    2.589    0.000 {built-in method numpy.array}
        2    0.000    0.000    2.566    1.283 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/compat/_optional.py:75(import_optional_dependency)
        2    0.000    0.000    2.566    1.283 /home/ross/anaconda3/envs/pymecht/lib/python3.8/importlib/__init__.py:109(import_module)
        2    0.000    0.000    2.566    1.283 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.000    0.000    2.559    2.559 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/__init__.py:4(<module>)
        1    0.000    0.000    2.436    2.436 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/workbook/__init__.py:4(<module>)
        1    0.000    0.000    2.433    2.433 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/workbook/workbook.py:3(<module>)


